Workout_Name,Day_Of_The_Week,Room_Number,Trainer
Кроссфит,Суббота,1,Дарья
TRX,Суббота,2,Александра
Йога,Суббота,1,Александра
Кроссфит,Суббота,1,Евгений
Кроссфит,Среда,3,Дарья
Стретчинг,Среда,5,Дарья
Зумба,Среда,4,Андрей
Стретчинг,Суббота,5,Мария
TRX,Пятница,4,Дарья
Стретчинг,Понедельник,5,Мария
Пилатес,Понедельник,6,Евгений
Йога,Пятница,4,Андрей
Зумба,Суббота,1,Андрей
TRX,Пятница,5,Андрей
Йога,Среда,4,Андрей
Кроссфит,Суббота,3,Мария
Йога,Пятница,6,Дарья
Кроссфит,Понедельник,2,Мария
Кроссфит,Суббота,2,Александра
Пилатес,Среда,5,Андрей
Кроссфит,Пятница,2,Андрей
TRX,Среда,5,Евгений
Йога,Пятница,3,Андрей
TRX,Суббота,2,Евгений
Зумба,Суббота,6,Александра
Кроссфит,Понедельник,1,Мария
Стретчинг,Суббота,1,Дарья
Зумба,Суббота,4,Дарья
TRX,Суббота,3,Мария
Зумба,Понедельник,6,Мария
Зумба,Среда,5,Евгений
Зумба,Суббота,6,Дарья
Йога,Понедельник,2,Дарья
Зумба,Пятница,4,Мария
Стретчинг,Суббота,6,Андрей
Стретчинг,Суббота,5,Дарья
Йога,Среда,2,Дарья
TRX,Суббота,5,Мария
Йога,Пятница,2,Андрей
Зумба,Среда,5,Дарья
Пилатес,Пятница,5,Александра
Йога,Пятница,3,Андрей
Зумба,Среда,5,Евгений
TRX,Среда,3,Мария
Зумба,Среда,4,Дарья
Стретчинг,Среда,5,Дарья
Стретчинг,Суббота,4,Мария
Кроссфит,Суббота,5,Мария
Стретчинг,Суббота,3,Александра
TRX,Пятница,4,Александра
