COLUMN_1,COLUMN_2,COLUMN_3,COLUMN_4
100,8.9,78,C
87,7.6,98,A
52,7.16,37,B
40,7.53,16,A
84,1.66,4,A
20,3.53,97,A
27,3.03,43,A
70,2.65,50,C
72,5.97,9,B
60,9.7,47,A
67,6.24,85,A
54,2.33,34,A
10,8.8,98,C
70,7.77,94,C
46,3.03,96,B
100,7.68,5,A
17,8.8,31,B
62,7.09,47,A
71,6.95,99,A
42,3.92,18,A
19,9.69,100,A
67,5.74,74,C
42,4.66,51,A
62,2.83,100,A
38,8.83,94,C
67,6.86,34,A
66,5.53,30,C
71,7.59,6,B
24,4.06,76,A
49,6.52,94,B
96,6.67,43,A
62,3.01,94,C
18,9.86,45,C
15,6.86,2,B
33,4.06,62,A
49,7.87,44,C
25,9.79,82,A
54,7.27,41,A
1,4.64,81,B
29,6.13,79,C
28,3.57,51,B
63,5.54,51,B
48,6.4,93,C
25,7.12,54,B
55,8.06,40,A
41,9.23,52,C
40,7.22,98,C
99,8.94,72,C
18,9.41,94,C
63,2.36,16,C
